País,Continente,Região,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Total
Afeganistão,Ásia,Sul da Ásia,16,39,39,47,71,340,496,741,828,1076,1028,1378,1170,713,858,1537,2212,2555,1999,2395,3326,4067,3697,3479,2978,3436,3009,2652,2111,1746,1758,2203,2635,2004,58639
Albânia,Europa,Sul da Europa,1,0,0,0,0,0,1,2,2,3,3,21,56,96,71,63,113,307,574,1264,1816,1602,1021,853,1450,1223,856,702,560,716,561,539,620,603,15699
Argélia,África,Norte da África,80,67,71,69,63,44,69,132,242,434,491,872,795,717,595,1106,2054,1842,2292,2389,2867,3418,3406,3072,3616,3626,4807,3623,4005,5393,4752,4325,3774,4331,69439
Samoa Americana,Oceânia,Polinésia,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Andorra,Europa,Sul da Europa,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,15
Angola,África,África média,1,3,6,6,4,3,5,5,11,6,8,23,26,22,8,26,38,27,58,49,70,169,168,165,268,295,184,106,76,62,61,39,70,45,2113
Antígua e Barbuda,América Latina e o Caribe,Caribe,0,0,0,0,42,52,51,61,34,51,31,59,61,44,18,23,21,27,19,12,13,25,17,25,14,24,32,15,32,38,27,37,51,25,981
Argentina,América Latina e o Caribe,América do Sul,368,426,626,241,237,196,213,519,374,538,678,763,1023,1022,366,380,396,391,349,318,427,635,865,1745,1591,1153,847,620,540,467,459,278,263,282,19596
Armênia,Ásia,Ásia Ocidental,0,0,0,0,0,0,0,0,0,0,0,0,22,21,66,75,102,115,89,112,124,87,132,153,147,224,218,198,205,267,252,236,258,207,3310
Austrália,Oceânia,Austrália e Nova Zelândia,702,639,484,317,317,319,356,467,410,553,620,640,734,886,702,668,699,623,479,523,599,799,747,876,930,909,875,1033,1018,1018,933,851,982,1121,23829
Áustria,Europa,Europa Ocidental,234,238,201,117,127,165,196,265,198,227,158,189,131,132,133,153,191,152,190,117,97,134,87,113,118,122,102,98,91,109,124,84,102,90,4985
Azerbaijão,Ásia,Ásia Ocidental,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,23,26,38,62,54,77,98,186,167,230,359,236,203,125,165,209,138,161,57,2649
Bahamas,América Latina e o Caribe,Caribe,26,23,38,12,21,28,23,18,22,32,18,29,16,20,21,17,30,17,14,13,14,20,17,14,13,14,18,23,30,27,25,40,60,55,808
Bahrein,Ásia,Ásia Ocidental,0,2,1,1,1,3,0,2,10,9,6,9,9,11,14,10,17,28,14,27,34,13,17,15,12,12,12,22,9,35,28,21,39,32,475
Bangladesh,Ásia,Sul da Ásia,83,84,86,81,98,92,486,503,476,387,611,1115,1655,1280,1361,2042,2824,3378,2202,2064,3119,3831,2944,2137,2660,4171,4014,2897,2939,2104,4721,2694,2640,3789,65568
Barbados,América Latina e o Caribe,Caribe,372,376,299,244,265,285,251,303,265,275,327,373,336,380,179,211,176,153,139,114,122,148,122,74,90,111,97,130,134,125,121,97,132,97,6923
Bielorrússia,Europa,Europa Oriental,0,0,0,0,0,0,0,0,0,0,0,0,12,40,114,118,156,349,540,426,515,430,435,435,543,558,439,568,524,454,438,357,277,247,7975
Bélgica,Europa,Europa Ocidental,511,540,519,297,183,181,197,283,333,307,303,216,208,240,201,240,279,227,307,209,369,340,307,320,411,400,302,363,335,358,363,332,402,379,10762
Belize,América Latina e o Caribe,América Central,16,27,13,21,37,26,25,23,53,33,38,41,27,37,41,43,27,33,20,37,28,24,35,16,25,37,24,28,48,38,39,36,34,53,1083
Benin,África,África Ocidental,2,5,4,3,4,3,6,4,20,14,13,13,25,25,18,15,29,32,19,37,35,66,71,78,112,95,116,183,205,238,290,284,391,397,2852
Butão,Ásia,Sul da Ásia,0,0,0,0,1,0,0,0,0,1,0,2,2,1,1,4,2,2,1,3,6,6,8,7,1,5,10,7,36,865,1464,1879,1075,487,5876
Bolívia,América Latina e o Caribe,América do Sul,44,52,42,49,38,44,79,165,63,68,71,214,247,180,75,61,96,43,33,42,33,72,57,59,85,134,139,107,143,214,180,86,83,107,3205
Bósnia e Herzegovina,Europa,Sul da Europa,0,0,0,0,0,0,0,0,0,0,0,0,258,2095,2090,3007,2599,2214,2789,2737,854,801,433,267,188,211,217,209,182,156,168,140,121,119,21855
Botswana,África,África do Sul,10,1,3,3,7,4,2,3,8,8,2,2,4,4,0,2,3,2,0,2,3,2,4,4,9,7,11,8,28,15,42,53,64,76,396
Brasil,América Latina e o Caribe,América do Sul,211,220,192,139,145,130,205,244,394,650,650,877,1066,866,566,572,586,591,531,626,845,847,745,839,917,969,1181,1746,2138,2509,2598,1508,1642,1714,29659
Brunei Darussalam,Ásia,Sudeste Asiático,79,6,8,2,2,4,12,16,103,63,44,65,31,36,14,17,4,6,1,3,6,3,4,6,3,4,5,11,10,5,12,6,3,6,600
Bulgária,Europa,Europa Oriental,24,20,12,33,11,24,33,52,43,85,172,611,1116,965,687,762,825,732,779,832,1172,1283,1517,1507,2022,1738,1419,1172,994,784,556,365,451,512,23310
Burkina Faso,África,África Ocidental,2,1,3,2,3,2,7,18,6,4,4,22,21,19,3,12,16,23,14,20,31,46,37,34,97,91,147,136,139,162,186,144,269,322,2043
Burundi,África,África Oriental,0,0,0,0,1,2,1,5,1,14,19,9,19,14,28,126,367,207,94,202,342,334,364,383,559,626,468,614,448,566,529,604,684,480,8110
Cabo Verde,África,África Ocidental,1,1,2,0,11,1,9,3,1,7,14,16,15,11,9,4,7,16,9,3,4,5,2,13,3,5,7,2,5,1,3,3,6,2,201
Camboja,Ásia,Sudeste Asiático,12,19,26,33,10,7,8,14,15,27,34,38,93,418,371,286,216,313,241,165,245,259,230,277,348,370,529,460,354,203,200,196,233,288,6538
Camarões,África,África média,9,2,16,7,8,13,11,18,20,38,34,66,71,78,67,122,178,104,197,220,244,206,222,301,436,604,697,1025,1279,1344,1800,1638,2507,2439,16021
Canadá,América do Norte,América do Norte,0,0,0,0,0,0,0,0,0,0,3,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,20
República da África Central,África,África média,4,3,1,0,0,0,0,2,3,4,6,2,11,4,4,4,6,9,17,6,13,6,20,10,13,49,18,30,28,19,26,18,45,169,550
Chade,África,África média,0,0,1,0,0,1,2,3,7,14,8,2,10,13,6,5,38,26,30,122,148,90,76,64,92,126,96,131,95,87,98,79,97,86,1653
Chile,América Latina e o Caribe,América do Sul,1233,1069,1078,781,681,533,633,1454,990,1023,1286,1749,1175,697,352,273,244,325,376,397,366,369,401,347,383,384,427,530,350,375,340,174,291,273,21359
China,Ásia,Ásia Oriental,5123,6682,3308,1863,1527,1816,1960,2643,2758,4323,8076,14255,10846,9817,13128,14398,19415,20475,21049,30069,35529,36434,31961,36439,36619,42584,33518,27642,30037,29622,30391,28502,33024,34129,659962
"China, região administrativa especial de Hong Kong",Ásia,Ásia Oriental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,257,400,470,379,430,446,536,729,712,674,897,657,623,591,728,774,9327
"China, região administrativa especial de Macau",Ásia,Ásia Oriental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,28,21,21,21,32,16,12,21,21,13,33,29,284
Colômbia,América Latina e o Caribe,América do Sul,266,326,360,244,235,214,257,376,352,439,614,652,582,464,375,371,381,578,929,1306,2259,2965,3283,4318,4566,6424,6535,5357,5452,4652,5218,4366,3741,3631,72088
Comores,África,África Oriental,0,2,2,0,0,2,1,0,2,2,1,3,0,2,4,4,5,2,4,1,3,14,2,11,6,5,7,11,3,19,22,14,18,22,194
Congo,África,África média,2,0,1,0,1,2,4,1,1,5,3,6,13,4,14,11,15,25,44,102,119,106,84,112,142,136,143,87,72,70,75,81,91,114,1686
Costa Rica,América Latina e o Caribe,América Central,28,35,42,51,75,113,79,116,104,92,99,156,216,184,83,89,118,135,103,100,106,134,106,105,165,188,279,281,246,217,190,149,183,122,4489
Côte D'ivoire,África,África Ocidental,14,8,10,6,21,23,23,20,17,37,42,62,62,67,68,101,102,67,57,110,118,143,184,119,256,294,431,619,646,668,1066,636,1024,1170,8291
Croácia,Europa,Sul da Europa,0,0,0,0,0,0,0,0,0,0,0,0,151,938,692,647,541,622,676,993,715,376,304,177,151,128,102,102,131,92,91,135,112,125,8001
Cuba,América Latina e o Caribe,Caribe,306,41,94,104,101,115,102,139,90,122,135,158,220,374,360,421,508,566,531,696,842,950,872,877,866,999,1064,1350,1300,1433,961,962,1304,1402,20365
Chipre,Ásia,Ásia Ocidental,132,128,84,46,46,43,48,48,56,55,27,37,29,42,24,16,31,36,19,15,16,22,13,17,11,7,9,4,7,6,18,6,12,16,1126
República Checa,Europa,Europa Oriental,0,0,0,0,0,0,0,0,0,0,0,1,0,107,155,128,149,182,206,524,470,290,226,181,191,193,146,137,104,159,168,128,173,174,4192
República Popular Democrática da Coreia,Ásia,Ásia Oriental,1,1,3,1,4,3,0,0,0,0,1,4,16,0,1,0,0,4,1,4,6,8,11,18,15,14,10,7,19,11,45,97,66,17,388
República Democrática do Congo,África,África média,15,16,17,17,28,11,38,66,46,48,116,223,439,404,309,529,796,663,768,937,1232,1248,1103,1233,1465,1521,1623,1466,1397,1581,1239,1224,1714,2050,25582
Dinamarca,Europa,Norte da Europa,272,293,299,106,93,73,93,109,129,129,118,111,158,186,93,111,70,83,63,81,93,81,70,89,89,62,101,97,108,81,92,93,94,81,3901
Djibuti,África,África Oriental,0,1,1,5,1,0,4,2,4,6,10,14,34,23,10,13,19,28,30,85,145,96,62,43,67,93,68,50,47,70,123,127,164,201,1646
Dominica,América Latina e o Caribe,Caribe,104,81,94,65,81,79,50,89,75,96,77,127,125,106,57,77,66,68,56,67,72,82,62,65,50,59,72,79,60,59,43,36,43,48,2470
República Dominicana,América Latina e o Caribe,Caribe,40,53,104,88,97,84,307,446,358,409,363,517,557,646,432,276,306,285,210,254,241,264,202,234,270,303,295,311,438,391,479,739,604,590,11193
Equador,América Latina e o Caribe,América do Sul,238,207,184,155,179,208,240,344,265,278,552,643,644,547,431,368,310,317,295,291,342,353,418,361,417,491,525,419,437,373,353,348,282,418,12233
Egito,África,Norte da África,612,660,755,455,447,348,514,1017,1085,1663,2365,1860,1558,1598,2375,2821,2561,2137,1387,1378,1642,2595,2039,2230,2393,2496,2190,2356,3347,3496,5982,4663,5555,4165,72745
El Salvador,América Latina e o Caribe,América Central,110,295,882,2587,2666,2769,3106,3558,2720,2955,4384,7124,5670,2977,1217,722,736,603,477,424,569,453,473,446,442,436,430,929,1115,845,787,691,641,639,54878
Guiné Equatorial,África,África média,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,1,0,4,1,2,2,2,3,4,5,1,5,4,4,4,11,61
Eritreia,África,África Oriental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,100,80,77,79,153,221,176,262,414,528,700,699,799,904,931,1182,1335,1719,10450
Estônia,Europa,Norte da Europa,0,0,0,0,0,0,0,0,0,0,14,4,30,51,39,70,89,73,50,54,58,30,38,56,27,26,18,34,34,26,28,15,26,45,935
Etiópia,África,África Oriental,98,59,54,98,154,157,302,555,690,1096,890,1168,1876,1779,1204,870,999,739,563,678,1074,1062,818,1399,1535,1506,1801,1512,1613,1289,1865,2163,1864,1606,35136
Fiji,Oceânia,Melanesia,632,705,814,554,389,446,361,523,561,736,1172,1619,1782,1317,1016,674,621,448,388,360,458,643,611,561,495,298,277,304,321,311,398,316,270,228,20609
Finlândia,Europa,Norte da Europa,208,205,170,70,83,69,68,92,89,78,73,63,76,98,99,76,58,82,55,63,70,53,59,65,54,67,51,62,89,63,63,72,62,76,2781
França,Europa,Europa Ocidental,1729,2027,2219,1490,1169,1177,1298,1658,2038,2332,2177,2911,3487,3709,2759,3332,2623,2473,3214,3343,3765,3806,3463,3568,4391,4429,4002,4290,4532,5051,4646,4080,6280,5623,109091
Gabão,África,África média,2,3,2,2,1,0,0,5,3,4,10,5,3,8,4,5,9,12,14,20,16,26,24,42,33,67,68,101,86,86,64,63,74,90,952
Gâmbia,África,África Ocidental,0,0,1,0,0,2,4,22,3,6,12,21,51,43,15,23,19,25,17,18,23,22,10,10,10,29,38,32,25,10,37,24,18,33,603
Geórgia,Ásia,Ásia Ocidental,0,0,0,0,0,0,0,0,0,0,0,0,8,22,27,67,49,46,92,46,83,124,123,127,106,114,125,132,112,128,126,139,147,125,2068
Alemanha,Europa,Europa Ocidental,1626,1977,3062,2376,1610,1441,1233,1704,1482,1706,1273,1273,1181,1488,1255,1553,1686,1397,1363,1717,1703,1456,1375,1865,2020,2226,2767,2449,3833,3887,2956,2053,1702,1217,63912
Gana,África,África Ocidental,172,196,98,122,116,172,215,970,408,429,449,1134,2502,2201,1341,1475,1219,1274,1040,845,959,782,696,564,738,851,710,688,629,659,802,528,531,517,26032
Grécia,Europa,Sul da Europa,1065,953,897,633,580,584,547,765,564,773,538,592,492,445,275,220,221,190,141,149,150,135,107,117,120,100,74,110,107,119,101,102,146,298,12410
Granada,América Latina e o Caribe,Caribe,154,181,231,165,167,168,235,302,165,170,172,268,434,492,235,364,366,387,330,294,372,354,259,222,296,283,363,360,284,325,208,173,142,170,9091
Guatemala,América Latina e o Caribe,América Central,114,108,113,366,598,975,1265,1060,702,773,1023,2156,1906,1392,757,640,655,519,358,287,329,269,242,179,217,190,230,258,263,264,266,288,358,345,19465
Guiné,África,África Ocidental,0,3,3,6,4,3,5,14,12,17,10,44,36,32,16,49,61,38,107,100,168,177,205,196,281,256,342,415,327,347,395,352,407,463,4891
Guiné-bissau,África,África Ocidental,0,0,0,0,1,0,0,0,3,4,4,4,1,2,2,2,3,4,0,1,1,3,2,6,4,7,12,7,2,0,2,2,4,0,83
Guiana,América Latina e o Caribe,América do Sul,2334,2943,3575,2650,1932,2299,3942,6174,2977,3270,2824,3266,2932,3399,4181,3935,2324,1795,1238,1366,1308,1707,1479,1410,1341,1215,1286,1277,1137,1180,953,804,676,656,75785
Haiti,América Latina e o Caribe,Caribe,1666,3692,3498,2860,1418,1321,1753,2132,1829,2377,2379,2829,2399,3655,2100,2014,1955,1645,1295,1439,1631,2433,2174,1930,1652,1682,1619,1598,2491,2080,4744,6503,5868,4152,84813
Honduras,América Latina e o Caribe,América Central,26,33,30,68,65,69,81,135,111,138,187,688,840,551,291,270,299,225,167,173,201,180,143,105,133,166,164,165,187,169,386,538,436,350,7770
Hungria,Europa,Europa Oriental,205,310,397,337,310,522,647,676,1139,979,780,775,795,603,349,306,364,319,337,408,418,627,537,489,671,516,520,425,383,312,354,287,300,425,16822
Islândia,Europa,Norte da Europa,17,33,10,9,13,6,11,11,7,3,2,11,17,15,11,9,14,11,20,17,9,26,11,17,23,10,2,15,13,15,30,38,42,72,570
Índia,Ásia,Sul da Ásia,8880,8670,8147,7338,5704,4211,7150,10189,11522,10343,12041,13734,13673,21496,18620,18489,23859,22268,17241,18974,28572,31223,31889,27155,28235,36210,33848,28742,28261,29456,34235,27509,30933,33087,691904
Indonésia,Ásia,Sudeste Asiático,186,178,252,115,123,100,127,213,270,260,227,252,243,278,262,205,231,166,165,525,1138,907,709,515,552,632,613,657,661,504,712,390,395,387,13150
Irã,Ásia,Sul da Ásia,1172,1429,1822,1592,1977,1648,1794,2989,3273,3781,3655,6250,6814,3959,2785,3956,6205,7982,7057,6208,5884,6169,8129,5918,6348,5837,7480,6974,6475,6580,7477,7479,7534,11291,175923
Iraque,Ásia,Ásia Ocidental,262,245,260,380,428,231,265,384,619,911,557,1013,1498,2103,1500,2034,2675,2564,2037,2159,2591,2821,2432,1515,1796,2226,1788,2406,3543,5450,5941,6196,4041,4918,69789
Irlanda,Europa,Norte da Europa,781,895,707,298,327,287,481,1078,1415,1378,845,705,533,436,331,231,276,220,170,162,178,190,178,192,244,224,283,300,412,395,547,525,725,1015,16964
Israel,Ásia,Ásia Ocidental,1403,1711,1334,541,446,680,1212,1497,1389,1762,1596,1358,1259,1584,1699,2224,2515,2998,3172,2387,2510,2436,2539,2314,2788,2446,2625,2401,2562,2316,2755,1970,2134,1945,66508
Itália,Europa,Sul da Europa,1820,2057,1480,820,858,667,731,1101,885,1068,895,711,623,663,558,508,476,491,399,410,383,410,374,321,334,344,325,320,370,429,434,374,440,545,22624
Jamaica,América Latina e o Caribe,Caribe,3198,2634,2661,2455,2508,2938,4649,5415,3924,3946,4945,5056,5991,6065,3913,3619,3282,2847,2253,2358,2482,2838,2524,2054,2237,1945,1722,2141,2334,2456,2321,2059,2182,2479,106431
Japão,Ásia,Ásia Oriental,701,756,598,309,246,198,248,422,324,494,379,506,605,907,956,826,994,924,897,1083,1010,1092,806,817,973,1067,1212,1250,1284,1194,1168,1265,1214,982,27707
Jordânia,Ásia,Ásia Ocidental,177,160,155,113,102,179,181,392,489,785,841,807,909,1141,1173,1006,1070,1317,999,1218,1511,1904,1499,1614,1733,1940,1827,1421,1581,1235,1831,1635,1206,1255,35406
Cazaquistão,Ásia,Ásia Central,0,0,0,0,0,0,0,0,0,0,0,0,3,24,42,56,152,593,884,537,450,501,418,542,545,506,408,436,394,431,377,381,462,348,8490
Quênia,África,África Oriental,291,296,221,201,218,245,244,628,984,1140,869,605,529,478,414,434,369,223,203,310,495,651,630,678,685,693,622,449,453,489,507,585,725,664,17228
Kiribati,Oceânia,Micronésia,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,2,0,15
Kuwait,Ásia,Ásia Ocidental,1,0,8,2,1,4,4,9,19,19,26,31,96,109,99,130,187,108,121,80,114,107,74,72,74,66,35,62,53,68,67,58,73,48,2025
Quirguistão,Ásia,Ásia Central,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,8,43,63,68,56,95,124,99,245,173,161,135,168,173,157,159,278,123,2353
